ASIN,Title,Price_INR,MRP_INR,Rating,Total_Reviews,Seller,Product_URL
B0D4226W5P,HighSpark 925 Silver Stylish Love Knot Heart Pendant Necklace For Women | 92.5 Sterling Silver & Stunning Shine | Lovely Gift,2789,7550,4.0,0,RK World InfoCom Private Limited,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDAxMDY2ODk2MzQwODgyOjE3ODUzNDYxMDY6c3BfbXRmOjMwMDkzNTc1Nzg2MjczMjo6MDo6&url=%2FHighSpark-Solitaire-Necklace-Brilliance-Sparkling%2Fdp%2FB0D4226W5P%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DRKWI%26qid%3D1785346106%26sr%3D8-1-spons%26aref%3DCmlU45X1mV%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=CmlU45X1mV&sp_cr=ZAZ
B097GWV2Y2,HighSpark 925 Silver Solitaire Heart Pendant with Chain For Women | 92.5 Sterling Silver & Diamond like Brilliance Sparkling Zirconia for that Stunning Shine | Lovely Gift,1997,5787,4.1,0,RK World InfoCom Private Limited,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDAxMDY2ODk2MzQwODgyOjE3ODUzNDYxMDY6c3BfbXRmOjMwMTA4MjIxNDI5OTMzMjo6MDo6&url=%2FHighSpark-Solitaire-Necklace-Brilliance-Swarovski%2Fdp%2FB097GWV2Y2%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DRKWI%26qid%3D1785346106%26sr%3D8-2-spons%26aref%3DwcHuqSRSNm%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=wcHuqSRSNm&sp_cr=ZAZ
B0BFHWCZ5X,HighSpark Deer Heart Pendant Chain Necklace | 92.5 Sterling Silver & Diamond like Brilliance Sparkling Zirconia for that Stunning Shine | Lovely Gift,1999,3497,3.9,0,RK World InfoCom Private Limited,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDAxMDY2ODk2MzQwODgyOjE3ODUzNDYxMDY6c3BfbXRmOjMwMTA4MjExNjQ4MTQzMjo6MDo6&url=%2FHighSpark-Necklace-Sterling-Brilliance-Sparkling%2Fdp%2FB0BFHWCZ5X%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DRKWI%26qid%3D1785346106%26sr%3D8-3-spons%26aref%3DWYwARBgyc6%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=WYwARBgyc6&sp_cr=ZAZ
B0CCPNHMC8,R/w Testes Siccati 3X (20g),247,1235,4.3,0,RK World InfoCom Private Limited,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDAxMDY2ODk2MzQwODgyOjE3ODUzNDYxMDY6c3BfbXRmOjMwMDAyOTQxODU1MDMzMjo6MDo6&url=%2FDr-Reckeweg-Testes-Siccati-20g%2Fdp%2FB0CCPNHMC8%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DRKWI%26qid%3D1785346106%26sr%3D8-4-spons%26aref%3Dvp9gNLcYsQ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=vp9gNLcYsQ&sp_cr=ZAZ
B0F3XWM9K1,Peora Silver Plated Red Crystal Studded Heart Shape Rose Style Pendant Chain Necklace Fashion Jewellery Gift for Women Girls,391,1995,5.0,0,RK World InfoCom Private Limited,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDAxMDY2ODk2MzQwODgyOjE3ODUzNDYxMDY6c3BfbXRmOjMwMTE3NzkxODQxNzUzMjo6MDo6&url=%2FPeora-Crystal-Studded-Necklace-Jewellery%2Fdp%2FB0F3XWM9K1%2Fref%3Dsr_1_5_sspa%3Fkeywords%3DRKWI%26qid%3D1785346106%26sr%3D8-5-spons%26aref%3Dd44LdMh3hP%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=d44LdMh3hP&sp_cr=ZAZ
B01AB35XPM,CONSTRUCTION PASTE 2.5 oz,1710,2280,4.5,0,RK World InfoCom Private Limited,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDAxMDY2ODk2MzQwODgyOjE3ODUzNDYxMDY6c3BfbXRmOjMwMTAzODU3NDEzNTMzMjo6MDo6&url=%2FPaul-Mitchell-Mitch-Construction-Elastic%2Fdp%2FB01AB35XPM%2Fref%3Dsr_1_6_sspa%3Fkeywords%3DRKWI%26qid%3D1785346106%26sr%3D8-6-spons%26aref%3DiySSL3RpOc%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=iySSL3RpOc&sp_cr=ZAZ
